gps:true;id=latitude,type=0;id=longitude,type=0;id=speed,type=1;id=time,type=0;id=altitude,type=0;id=accuracy,type=0
cmdDesc:010D=Vehicle speed (Speed);UnitType=MPH;Unit=1
1558060975077;010D;0.0
1558060975081;gps;43.50058333333333:-96.76394333333334:0.2289462:1558060976000:449.6:2.7:0.09779722
1558060975483;010D;0.0
1558060975917;010D;0.0
1558060976078;gps;43.500585:-96.76394333333334:0.18532488:1558060977000:449.6:2.7:0.0
1558060976197;010D;0.0
1558060976555;010D;0.0
1558060977063;010D;0.0
1558060977071;gps;43.50058166666666:-96.76394499999999:0.39427438:1558060978000:449.6:2.7:0.0
1558060977451;010D;0.0
1558060977718;010D;0.0
1558060978215;010D;0.0
1558060978216;gps;43.50058000000001:-96.76394166666665:0.32654178:1558060979000:449.6:2.7:0.0
1558060978482;010D;0.0
1558060978679;010D;0.0
1558060978971;010D;0.0
1558060979121;gps;43.50058000000001:-96.76394166666665:0.0:1558060980000:449.6:2.7:0.0
1558060979249;010D;0.0
1558060979479;010D;0.0
1558060979797;010D;0.0
1558060980037;010D;0.0
1558060980185;gps;43.50058000000001:-96.76394166666665:0.0:1558060981000:449.6:2.7:0.0
1558060980309;010D;0.0
1558060980830;010D;0.0
1558060981177;010D;0.0
1558060981178;gps;43.50058000000001:-96.76394166666665:0.0:1558060982000:449.6:2.7:0.0
1558060981507;010D;0.0
1558060982004;010D;0.0
1558060982160;gps;43.50058000000001:-96.76394166666665:0.0:1558060983000:449.6:2.7:0.0
1558060982263;010D;0.0
1558060982552;010D;0.0
1558060982939;010D;0.0
1558060983089;gps;43.50058000000001:-96.76394166666665:0.0:1558060984000:449.6:2.7:0.0
1558060983184;010D;0.0
1558060983567;010D;0.0
1558060983876;010D;0.0
1558060984158;010D;0.0
1558060984161;gps;43.50058000000001:-96.76394166666665:0.0:1558060985000:449.6:2.7:0.0
1558060984666;010D;0.0
1558060984969;010D;0.0
1558060985092;gps;43.50058000000001:-96.76394166666665:0.0:1558060986000:449.6:2.7:0.0
1558060985248;010D;0.0
1558060985788;010D;0.0
1558060986081;010D;0.0
1558060986082;gps;43.50058000000001:-96.76394166666665:0.0:1558060987000:449.6:2.7:0.0
1558060986648;010D;0.0
1558060986964;010D;0.0
1558060987277;010D;0.0
1558060987278;gps;43.50058000000001:-96.76394166666665:0.0:1558060988000:449.6:2.7:0.0
1558060987575;010D;0.0
1558060987929;010D;0.0
1558060988202;gps;43.50058000000001:-96.76394166666665:0.0:1558060989000:449.6:2.7:0.0
1558060988292;010D;0.0
1558060988635;010D;0.0
1558060988927;010D;0.0
1558060989062;gps;43.50058000000001:-96.76394166666665:0.0:1558060990000:449.6:2.7:0.0
1558060989371;010D;0.0
1558060989871;010D;1.0
1558060990184;gps;43.50058000000001:-96.76394166666665:0.0:1558060991000:449.6:2.7:0.0
1558060990337;010D;2.0
1558060990624;010D;3.0
1558060990906;010D;4.0
1558060991070;gps;43.50058000000001:-96.76394166666665:0.0:1558060992000:449.6:2.7:0.0
1558060991399;010D;5.0
1558060991858;010D;6.0
1558060992237;010D;6.0
1558060992243;gps;43.50058000000001:-96.76394166666665:0.0:1558060993000:449.6:2.7:0.0
1558060992738;010D;6.0
1558060992987;010D;7.0
1558060993126;gps;43.500593333333335:-96.76396333333332:2.2917478:1558060994000:449.3:2.7:0.0
1558060993418;010D;7.0
1558060993953;010D;6.0
1558060994156;gps;43.50060833333334:-96.76397166666666:1.798262:1558060995000:449.3:2.6:0.35515833
1558060994319;010D;6.0
1558060994821;010D;4.0
1558060995142;010D;2.0
1558060995145;gps;43.500613333333334:-96.76397333333334:0.5719955:1558060996000:449.2:2.6:0.4287636
1558060995428;010D;1.0
1558060995660;010D;1.0
1558060995916;010D;0.0
1558060996079;gps;43.50061666666667:-96.76397333333334:0.37064976:1558060997000:449.2:2.6:0.49053028
1558060996271;010D;0.0
1558060996748;010D;0.0
1558060997282;gps;43.50062:-96.76396666666666:0.65308326:1558060998000:449.2:2.6:0.52501667
1558060997745;010D;4.0
1558060998388;gps;43.50060666666666:-96.76392166666668:3.9206996:1558060999000:449.1:2.6:0.6464911
1558060998572;010D;13.0
1558060999133;010D;15.0
1558060999142;gps;43.50060333333332:-96.76387833333335:3.514741:1558061000000:449.1:2.6:1.0942994
1558060999728;010D;17.0
1558061000141;010D;19.0
1558061000147;gps;43.50059833333333:-96.76381666666666:5.004834:1558061001000:449.0:2.6:5.348479
1558061000439;010D;20.0
1558061000840;010D;21.0
1558061001186;gps;43.50060666666666:-96.76375166666666:5.3239727:1558061002000:448.8:2.5:6.15196
1558061001636;010D;23.0
1558061002156;010D;24.0
1558061002157;gps;43.50061666666667:-96.76367166666665:6.547679:1558061003000:448.5:2.5:6.8262463
1558061002565;010D;25.0
1558061003106;010D;25.0
1558061003108;gps;43.50062500000001:-96.76358666666665:6.9181924:1558061004000:448.1:2.4:7.1206675
1558061003440;010D;26.0
1558061003795;010D;26.0
1558061004151;gps;43.500634999999996:-96.76350333333333:6.812782:1558061005000:447.8:2.4:7.2812605
1558061004299;010D;25.0
1558061004631;010D;24.0
1558061005219;010D;22.0
1558061005222;gps;43.500640000000004:-96.76341:7.5484986:1558061006000:446.6:2.2:6.5894737
1558061005583;010D;19.0
1558061005869;010D;17.0
1558061006098;gps;43.500638333333335:-96.76332666666667:6.723979:1558061007000:445.6:2.0:5.227519
1558061006237;010D;16.0
1558061006901;010D;14.0
1558061007179;010D;13.0
1558061007180;gps;43.50063166666667:-96.76326666666667:4.8958726:1558061008000:445.0:1.9:4.353006
1558061007537;010D;12.0
1558061008139;010D;12.0
1558061008141;gps;43.50061833333333:-96.76322833333333:3.4289465:1558061009000:444.2:1.9:2.8752384
1558061008497;010D;12.0
1558061008739;010D;12.0
1558061009018;010D;12.0
1558061009141;gps;43.50060166666667:-96.76320833333332:2.456982:1558061010000:443.3:1.9:2.4243417
1558061009257;010D;12.0
1558061009479;010D;12.0
1558061010098;gps;43.50057166666667:-96.7632:3.4028895:1558061011000:442.9:1.9:2.8618555
1558061010339;010D;13.0
1558061011024;010D;13.0
1558061011629;gps;43.50053666666666:-96.76320499999999:3.9126618:1558061012000:442.5:1.9:3.6020262
1558061011956;010D;11.0
