Timestamp,accelX(g),accelY(g),accelZ(g),accelUserX(g),accelUserY(g),accelUserZ(g),gyroX(rad/s),gyroY(rad/s),gyroZ(rad/s),Roll(rads),Pitch(rads),Yaw(rads),Lat,Long,Speed(m/s),TrueHeading,Alt(m), HorizontalAccuracy(m), VerticalAccuracy(m),ActivityType,ActivityConfidence,Pressure(kilopascals),RelativeAltitude(meters),magX(µT),magY(µT),magZ(µT),calMagX,calMagY,calMagZ
24-May-2019 18:08:41.022, 0.0110, 0.0135,-1.0334, 0.0100,-0.0020,-0.0038,-0.0267, 0.0382,-0.0075, 0.0024,-0.0144,-2.2314,41.662512,-91.538007, 0.0000, 89.9506, 201.457077, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.6897, 19.8856,-279.1295, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.043, 0.0098, 0.0072,-1.0011,-0.0095,-0.0051,-0.0168,-0.0214, 0.0371,-0.0043, 0.0022,-0.0143,-2.2314,41.662512,-91.538007, 0.0000, 89.9506, 201.457077, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 15.6244, 19.1754,-278.7920, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.079, 0.0090, 0.0098,-1.0165,-0.0056, 0.0018,-0.0171,-0.0107, 0.0202,-0.0160, 0.0021,-0.0143,-2.2315,41.662512,-91.538007, 0.0000, 89.9506, 201.457077, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.9325, 18.9978,-278.6232, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.123, 0.0063, 0.0189,-1.0161,-0.0076,-0.0022,-0.0028,-0.0192, 0.0350,-0.0064, 0.0023,-0.0143,-2.2315,41.662512,-91.538007, 0.0000, 89.9506, 201.457077, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.5774, 18.9978,-277.9482, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.161, 0.0008, 0.0107,-1.0107,-0.0099, 0.0032,-0.0218,-0.0118, 0.0255,-0.0150, 0.0021,-0.0144,-2.2315,41.662512,-91.538007, 0.0000, 89.9506, 201.457077, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 15.2693, 19.1754,-278.4545, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.197, 0.0010, 0.0177,-1.0207,-0.0106,-0.0008,-0.0063,-0.0118, 0.0255,-0.0150, 0.0020,-0.0144,-2.2315,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.8672, 20.4182,-278.2857, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.241, 0.0005, 0.0151,-1.0084,-0.0094,-0.0034,-0.0161,-0.0171, 0.0329,-0.0086, 0.0020,-0.0145,-2.2315,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.9325, 18.2876,-278.2857, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.275,-0.0014, 0.0159,-1.0185,-0.0093, 0.0015,-0.0127,-0.0139, 0.0350,-0.0107, 0.0022,-0.0145,-2.2316,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.5121, 19.3529,-279.2983, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.315, 0.0008, 0.0162,-1.0115,-0.0099,-0.0036,-0.0108,-0.0139, 0.0350,-0.0107, 0.0021,-0.0145,-2.2316,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.8672, 17.9325,-277.6107, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.353, 0.0012, 0.0140,-1.0089,-0.0064,-0.0004,-0.0136,-0.0139, 0.0297,-0.0139, 0.0024,-0.0145,-2.2316,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.8672, 18.2876,-279.9733, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.391,-0.0023, 0.0140,-1.0164,-0.0068,-0.0021,-0.0066,-0.0128, 0.0297,-0.0128, 0.0023,-0.0143,-2.2316,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 18.2876, 19.7080,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.430,-0.0040, 0.0133,-1.0097, 0.0098, 0.0005,-0.0144,-0.0128, 0.0297,-0.0128, 0.0024,-0.0143,-2.2316,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.5121, 20.4182,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.470,-0.0033, 0.0140,-1.0161,-0.0063, 0.0004,-0.0113,-0.0171, 0.0329,-0.0107, 0.0025,-0.0143,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.3346, 19.8856,-279.4670, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.511,-0.0043, 0.0155,-1.0108,-0.0046,-0.0008,-0.0158,-0.0128, 0.0308,-0.0128, 0.0024,-0.0143,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.5121, 19.3529,-279.9733, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.547,-0.0070, 0.0144,-1.0135,-0.0034, 0.0018,-0.0144,-0.0160, 0.0339,-0.0096, 0.0023,-0.0143,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.1570, 19.7080,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.589,-0.0064, 0.0146,-1.0114,-0.0086, 0.0002,-0.0115,-0.0139, 0.0308,-0.0107, 0.0022,-0.0144,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.1570, 19.7080,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.628,-0.0086, 0.0172,-1.0090,-0.0005, 0.0028,-0.0155,-0.0160, 0.0329,-0.0096, 0.0023,-0.0145,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.6897, 19.1754,-277.4419, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.673,-0.0105, 0.0123,-1.0144, 0.0032, 0.0018,-0.0141,-0.0150, 0.0329,-0.0107, 0.0022,-0.0145,-2.2317,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.9325, 20.0631,-279.2983, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.702,-0.0084, 0.0102,-1.0118, 0.0084, 0.0002,-0.0161,-0.0150, 0.0318,-0.0118, 0.0022,-0.0145,-2.2318,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.8672, 19.3529,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.740,-0.0039, 0.0109,-1.0148, 0.0056,-0.0007,-0.0137,-0.0171, 0.0329,-0.0118, 0.0024,-0.0145,-2.2318,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 15.9795, 19.5305,-279.8046, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.789,-0.0037, 0.0107,-1.0137, 0.0078, 0.0016,-0.0169,-0.0171, 0.0339,-0.0096, 0.0025,-0.0144,-2.2318,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.2223, 18.2876,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.817,-0.0023, 0.0126,-1.0108, 0.0079, 0.0015,-0.0170,-0.0139, 0.0318,-0.0118, 0.0027,-0.0144,-2.2318,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.5121, 18.2876,-278.9608, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.869, 0.0007, 0.0142,-1.0170, 0.0072,-0.0007,-0.0168,-0.0139, 0.0329,-0.0107, 0.0027,-0.0143,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 15.9795, 19.5305,-278.1170, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.899,-0.0016, 0.0157,-1.0131, 0.0079, 0.0031,-0.0152,-0.0160, 0.0297,-0.0096, 0.0029,-0.0143,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 16.5121, 19.3529,-278.6232, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.936,-0.0025, 0.0177,-1.0148, 0.0069, 0.0014,-0.0161,-0.0139, 0.0308,-0.0118, 0.0027,-0.0144,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.2223, 18.2876,-279.2983, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:41.976, 0.0002, 0.0147,-1.0177, 0.0034,-0.0002,-0.0161,-0.0171, 0.0329,-0.0107, 0.0025,-0.0145,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6444,-10.8573, 17.3999, 19.8856,-278.7920, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.017, 0.0015, 0.0143,-1.0147, 0.0045,-0.0008,-0.0171,-0.0160, 0.0318,-0.0118, 0.0023,-0.0144,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 17.0448, 19.8856,-279.4670, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.051, 0.0056, 0.0148,-1.0143, 0.0053,-0.0009,-0.0150,-0.0150, 0.0329,-0.0107, 0.0022,-0.0143,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 17.2223, 17.9325,-279.9733, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.097, 0.0076, 0.0141,-1.0155, 0.0077,-0.0015,-0.0146,-0.0171, 0.0339,-0.0107, 0.0025,-0.0143,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 16.6897, 18.8203,-279.8046, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.131, 0.0110, 0.0160,-1.0160, 0.0059,-0.0010,-0.0168,-0.0139, 0.0318,-0.0096, 0.0027,-0.0142,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.404114, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 16.3346, 18.4652,-279.4670, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.170, 0.0098, 0.0159,-1.0151, 0.0095,-0.0011,-0.0163,-0.0139, 0.0329,-0.0118, 0.0031,-0.0142,-2.2319,41.662512,-91.538007, 0.0000, 89.9506, 201.381454, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 16.6897, 18.8203,-279.8046, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.206, 0.0066, 0.0156,-1.0178, 0.0071, 0.0014,-0.0144,-0.0160, 0.0329,-0.0118, 0.0031,-0.0143,-2.2320,41.662512,-91.538007, 0.0000, 89.9506, 201.381454, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 15.8019, 20.4182,-280.6484, 0.0000, 0.0000, 0.0000
24-May-2019 18:08:42.247, 0.0100, 0.0140,-1.0169, 0.0053, 0.0019,-0.0148,-0.0150, 0.0308,-0.0107, 0.0030,-0.0143,-2.2320,41.662512,-91.538007, 0.0000, 89.9506, 201.381454, 5.0, 4.0,Automotive,High, 98.6448,-10.8890, 17.2223, 21.1284,-279.9733, 0.0000, 0.0000, 0.0000
